Triangle 171: (-0.88, 1.00, 0.45), (-0.86, 1.00, 0.49), (-0.82, 1.00, 0.53)
Triangle 172: (-0.95, 1.00, 0.00), (-0.96, 1.00, 0.05), (-0.95, 1.00, 0.10)
Triangle 173: (-0.95, 1.00, 0.00), (-0.96, 1.00, -0.05), (-0.96, 1.00, 0.05)
Triangle 174: (-0.98, 1.00, -0.15), (-0.98, 1.00, -0.10), (-0.98, 1.00, -0.05)
Triangle 175: (-0.77, 1.00, -0.56), (-0.81, 1.00, -0.52), (-0.83, 1.00, -0.48)
Triangle 176: (-0.77, 1.00, -0.56), (-0.75, 1.00, -0.61), (-0.81, 1.00, -0.52)
Triangle 177: (-0.70, 1.00, -0.70), (-0.74, 1.00, -0.66), (-0.76, 1.00, -0.62)
Triangle 178: (-0.29, 1.00, -0.90), (-0.35, 1.00, -0.90), (-0.39, 1.00, -0.87)
Triangle 179: (-0.29, 1.00, -0.90), (-0.25, 1.00, -0.93), (-0.35, 1.00, -0.90)
Triangle 180: (-0.15, 1.00, -0.98), (-0.21, 1.00, -0.97), (-0.25, 1.00, -0.94)
Triangle 181: (0.29, 1.00, -0.90), (0.25, 1.00, -0.93), (0.20, 1.00, -0.94)
Triangle 182: (0.29, 1.00, -0.90), (0.35, 1.00, -0.90), (0.25, 1.00, -0.93)
Triangle 183: (0.45, 1.00, -0.88), (0.40, 1.00, -0.90), (0.35, 1.00, -0.91)
Triangle 184: (-0.70, 0.00, -0.70), (-0.66, 0.00, -0.74), (-0.66, -0.33, -0.74)
Triangle 185: (-0.70, 0.00, -0.70), (-0.70, 0.33, -0.70), (-0.66, 0.00, -0.74)
Triangle 186: (-0.70, 1.00, -0.70), (-0.66, 1.00, -0.74), (-0.66, 0.67, -0.74)
Triangle 187: (-0.88, 0.00, -0.45), (-0.86, 0.00, -0.49), (-0.86, -0.33, -0.49)
Triangle 188: (-0.88, 0.00, -0.45), (-0.88, 0.33, -0.45), (-0.86, 0.00, -0.49)
Triangle 189: (-0.88, 1.00, -0.45), (-0.86, 1.00, -0.49), (-0.86, 0.67, -0.49)
Triangle 190: (-0.98, 0.00, -0.15), (-0.97, 0.00, -0.21), (-0.97, -0.33, -0.21)
Triangle 191: (-0.98, 0.00, -0.15), (-0.98, 0.33, -0.15), (-0.97, 0.00, -0.21)
Triangle 192: (-0.98, 1.00, -0.15), (-0.97, 1.00, -0.21), (-0.97, 0.67, -0.21)
Triangle 193: (-0.98, 0.00, 0.15), (-0.98, 0.00, 0.10), (-0.98, -0.33, 0.10)
Triangle 194: (-0.98, 0.00, 0.15), (-0.98, 0.33, 0.15), (-0.98, 0.00, 0.10)
Triangle 195: (-0.98, 1.00, 0.15), (-0.98, 1.00, 0.10), (-0.98, 0.67, 0.10)
Triangle 196: (-0.88, 0.00, 0.45), (-0.90, 0.00, 0.40), (-0.90, -0.33, 0.40)
Triangle 197: (-0.88, 0.00, 0.45), (-0.88, 0.33, 0.45), (-0.90, 0.00, 0.40)
Triangle 198: (-0.88, 1.00, 0.45), (-0.90, 1.00, 0.40), (-0.90, 0.67, 0.40)
Triangle 199: (-0.70, 0.00, 0.70), (-0.74, 0.00, 0.66), (-0.74, -0.33, 0.66)
Triangle 200: (-0.70, 0.00, 0.70), (-0.70, 0.33, 0.70), (-0.74, 0.00, 0.66)
Triangle 201: (-0.70, 1.00, 0.70), (-0.74, 1.00, 0.66), (-0.74, 0.67, 0.66)
Triangle 202: (-0.45, 0.00, 0.88), (-0.49, 0.00, 0.86), (-0.49, -0.33, 0.86)
Triangle 203: (-0.45, 0.00, 0.88), (-0.45, 0.33, 0.88), (-0.49, 0.00, 0.86)
Triangle 204: (-0.45, 1.00, 0.88), (-0.49, 1.00, 0.86), (-0.49, 0.67, 0.86)
Triangle 205: (-0.15, 0.00, 0.98), (-0.21, 0.00, 0.97), (-0.21, -0.33, 0.97)
Triangle 206: (-0.15, 0.00, 0.98), (-0.15, 0.33, 0.98), (-0.21, 0.00, 0.97)
Triangle 207: (-0.15, 1.00, 0.98), (-0.21, 1.00, 0.97), (-0.21, 0.67, 0.97)
Triangle 208: (0.15, 0.00, 0.98), (0.10, 0.00, 0.98), (0.10, -0.33, 0.98)
Triangle 209: (0.15, 0.00, 0.98), (0.15, 0.33, 0.98), (0.10, 0.00, 0.98)
Triangle 210: (0.15, 1.00, 0.98), (0.10, 1.00, 0.98), (0.10, 0.67, 0.98)
Triangle 211: (0.45, 0.00, 0.88), (0.40, 0.00, 0.90), (0.40, -0.33, 0.90)
Triangle 212: (0.45, 0.00, 0.88), (0.45, 0.33, 0.88), (0.40, 0.00, 0.90)
Triangle 213: (0.45, 1.00, 0.88), (0.40, 1.00, 0.90), (0.40, 0.67, 0.90)
Triangle 214: (0.70, 0.00, 0.70), (0.66, 0.00, 0.74), (0.66, -0.33, 0.74)
